Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Dr. Funk (Riva Starr Mo' Funk Mix),Carl Cox,Dr. Funk (Riva Starr Remixes),2006,360420,4,0.811,0.991,2,-6.466,1,0.0444,0.000118,0.918,0.0324,0.28,126.002,42
Give Me Your Love - Valentino Kanzyani Mixshow,Carl Cox,Give Me Your Love,2005,356893,4,0.696,0.87,10,-7.546,0,0.0374,0.00185,0.864,0.0403,0.64,131.01,1
I Want You (Forever) - Josh Butler Remix - Radio Edit,Carl Cox,I Want You (Forever) [Josh Butler Remix],2011,245714,4,0.87,0.657,9,-8.833,1,0.0746,0.00411,0.0722,0.834,0.297,126.016,57
The Latin Theme - Roel Salemink & Steve Mulder Remix,Carl Cox,The Latin Theme,2007,439875,4,0.676,0.916,7,-5.863,1,0.0537,0.000235,0.846,0.405,0.41,127.984,30
Cry Baby,Clean Bandit,Cry Baby,2018,157086,4,0.664,0.762,1,-4.286,1,0.104,0.333,0.00000126,0.177,0.576,118.979,75
Disconnect,Clean Bandit,Disconnect,2018,252033,4,0.642,0.734,0,-6.788,0,0.031,0.1,0.0000319,0.102,0.622,123.972,42
Extraordinary (feat. Sharna Bass),Clean Bandit,New Eyes,2018,256676,4,0.715,0.825,0,-5.322,0,0.0348,0.171,0.00000556,0.0871,0.124,126.962,27
Mama (feat. Ellie Goulding),Clean Bandit,What Is Love? (Deluxe Edition),2016,189973,4,0.737,0.714,1,-6.138,0,0.0367,0.225,0.00000379,0.267,0.608,102.046,51
Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),2014,227833,4,0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,72
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,What Is Love? (Deluxe Edition),2016,251173,4,0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,77
Solo (feat. Demi Lovato),Clean Bandit,What Is Love? (Deluxe Edition),2018,222706,4,0.74,0.622,11,-4.608,0,0.0446,0.0357,0.0000485,0.356,0.556,104.966,71
Symphony (feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),2017,212733,4,0.715,0.605,0,-5.128,0,0.0428,0.239,0.0000141,0.189,0.454,122.956,77
Up Again (feat. Rae Morris) - Drumsound & Bassline Smith Remix,Clean Bandit,New Eyes,2015,208649,4,0.459,0.887,8,-4.54,1,0.0394,0.00793,0,0.126,0.426,171.968,16
Aerodynamic,Daft Punk,Discovery,2001,212546,4,0.624,0.911,7,-7.482,1,0.0524,0.329,0.861,0.0727,0.135,122.902,60
Around the World,Daft Punk,Homework,1997,429533,4,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,72
Da Funk,Daft Punk,Homework,1997,328680,4,0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,62
Digital Love,Daft Punk,Discovery,2001,301373,4,0.644,0.664,9,-8.398,1,0.0332,0.048,0.867,0.342,0.53,124.726,65
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,Random Access Memories,2013,369626,4,0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,73
"Harder, Better, Faster, Stronger",Daft Punk,Discovery,2001,224693,4,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,70
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,2013,337560,4,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,75
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,2013,353893,4,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,68
One More Time,Daft Punk,Discovery,2000,320357,4,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,76
Robot Rock,Daft Punk,Human After All,2005,287720,4,0.59,0.787,7,-5.766,1,0.0512,6.94E-06,0.845,0.0293,0.598,111.926,51
Feel the Beat,Darude,"Before the Storm, Special Edition",2000,259200,4,0.569,0.913,8,-6.973,1,0.0638,0.00618,0.834,0.287,0.504,137.822,52
Music - Original Radio Edit,Darude,Music,1999,225426,4,0.561,0.982,1,-5.726,1,0.0527,0.00132,0.755,0.656,0.786,137.965,26
Out Of Control (Back For More),Darude,"Before the Storm, Special Edition",2009,217653,4,0.601,0.942,9,-6.448,0,0.074,0.0462,0.0653,0.0397,0.305,136.854,30
Rush,Darude,Rush,1999,374706,4,0.59,0.965,8,-8.639,1,0.0412,0.0021,0.856,0.38,0.357,137.968,19
Sandstorm,Darude,"Before the Storm, Special Edition",1999,225493,4,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,70
Touch Me Feel Me,Darude,Before the Storm,2005,374706,4,0.621,0.685,7,-10.201,1,0.0474,0.0741,0.736,0.155,0.241,104.909,28
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen (Deluxe),2015,192560,4,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,62
Just One Last Time (feat. Taped Rai),David Guetta,Nothing but the Beat 2.0,2012,227106,4,0.532,0.812,8,-2.507,1,0.0547,0.021,0,0.124,0.207,128.063,35
Memories (feat. Kid Cudi),David Guetta,One Love (Deluxe),2011,210093,4,0.561,0.87,8,-6.103,1,0.343,0.0015,0.00000282,0.246,0.498,129.98,67
Play Hard (feat. Ne-Yo & Akon),David Guetta,Nothing but the Beat 2.0,2012,201000,4,0.691,0.921,8,-1.702,0,0.0535,0.174,0,0.331,0.802,130.072,62
Sexy Bitch (feat. Akon),David Guetta,One Love (Deluxe),2009,195853,4,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,67
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,Nothing but the Beat 2.0,2012,222500,4,0.491,0.857,7,-2.634,1,0.0656,0.0834,0.00000757,0.344,0.395,129.971,49
Titanium (feat. Sia),David Guetta,Nothing but the Beat,2011,245040,4,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,56
When Love Takes Over (feat. Kelly Rowland),David Guetta,One Love (Deluxe),2009,191000,4,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,58
Without You (feat. Usher),David Guetta,Nothing but the Beat 2.0,2011,208133,4,0.608,0.614,2,-3.727,1,0.0285,0.227,0.00000382,0.157,0.402,127.885,64
Ghosts 'n' Stuff - Extended Mix,deadmau5,5 Years of mau5,2008,328733,4,0.622,0.63,8,-6.941,1,0.127,4.7E-05,0.0961,0.193,0.433,127.995,58
I Remember - John Summit Remix,deadmau5,I Remember (John Summit Remix),2020,240000,4,0.531,0.855,7,-6.722,1,0.0335,0.00616,0.482,0.191,0.117,126.018,58
Moar Ghosts 'n' Stuff - Extended Mix,deadmau5,For Lack of A Better Name (The Extended Mixes),2010,297186,4,0.905,0.648,8,-5.582,1,0.103,0.000106,0.864,0.106,0.348,127.995,38
Not Exactly - Rebūke Remix,deadmau5,Not Exactly (Rebūke Remix),2020,180000,4,0.618,0.865,5,-7.367,1,0.037,0.0094,0.91,0.134,0.0396,130.007,47
Professional Griefers - Vocal Mix,deadmau5,> album title goes here <,2011,243746,4,0.733,0.508,1,-5.2,1,0.0713,8.05E-05,0.233,0.227,0.631,128.011,50
Raise Your Weapon,deadmau5,5 Years of mau5,2010,502909,4,0.506,0.698,1,-7.483,1,0.0812,0.0165,0.00174,0.112,0.0701,140.001,47
Sofi Needs a Ladder,deadmau5,5 Years of mau5,2011,401621,3,0.778,0.708,5,-7.752,1,0.053,0.00429,0.00257,0.748,0.34,128.011,47
Some Chords,deadmau5,5 Years of mau5,2010,443120,4,0.79,0.422,1,-8.014,1,0.0684,5.3E-05,0.602,0.074,0.406,128.025,45
Strobe - Radio Edit,deadmau5,Strobe,2009,212066,4,0.656,0.662,8,-9.345,0,0.0307,8.12E-05,0.884,0.104,0.0727,128.022,49
The Veldt - Radio Edit,deadmau5,The Veldt,2012,170066,4,0.736,0.759,9,-7.066,1,0.0347,0.0574,0.207,0.0778,0.485,128.036,55
Dechorro,Deorro,Dechorro,2016,307500,4,0.77,0.837,5,-3.978,0,0.0698,0.00465,0.115,0.122,0.187,127.989,29
Five Hours,Deorro,Five Hours,2014,326887,4,0.88,0.821,5,-2.545,0,0.118,0.0197,0.661,0.234,0.575,127.907,63
Five More Hours,Deorro,Good Evening,2015,211975,4,0.699,0.883,5,-3.226,0,0.219,0.0288,0,0.817,0.499,127.961,73
Perdoname (feat. DyCy & Adrian Delgado),Deorro,Perdoname (feat. DyCy & Adrian Delgado),2016,270053,4,0.855,0.856,9,-2.574,0,0.105,0.000926,0.00271,0.959,0.516,127.989,66
Yee,Deorro,Yee,2016,168753,4,0.718,0.993,5,-4.116,0,0.046,0.143,0.855,0.108,0.616,127.998,48
Candy (feat. Snappy Jit),Dillon Francis,Candy (feat. Snappy Jit),2014,182181,4,0.894,0.892,1,-2.663,1,0.131,0.0877,0.00167,0.0528,0.862,110.041,29
Coming Over (feat. James Hersey),Dillon Francis,This Mixtape is Fire.,2016,178333,4,0.631,0.661,5,-5.5,0,0.0999,0.227,0.00000143,0.166,0.698,174.031,50
Get Low,Dillon Francis,"Money Sucks, Friends Rule",2014,212773,4,0.674,0.932,11,-4.424,0,0.0859,0.0282,0.71,0.684,0.728,101.033,59
Goodies,Dillon Francis,This Mixtape is Fire TOO,2019,121904,4,0.838,0.866,5,-3.653,0,0.0402,0.0176,0.0127,0.0932,0.675,126.017,54
I.D.G.A.F.O.S.,Dillon Francis,I.D.G.A.F.O.S.,2018,248727,4,0.666,0.93,6,-3.826,0,0.0406,0.00168,0.000397,0.341,0.13,110.018,32
Say Less,Dillon Francis,Say Less,2018,204699,4,0.682,0.925,8,-5.436,1,0.208,0.102,0.000017,0.343,0.647,135.956,46
Touch,Dillon Francis,You Do You,2015,177658,4,0.742,0.644,0,-7.284,1,0.0577,0.221,0.0391,0.105,0.614,104.027,51
Ven,Dillon Francis,WUT WUT,2018,186004,4,0.738,0.723,0,-5.815,1,0.23,0.00828,0.0000202,0.259,0.386,115.06,27
Without You,Dillon Francis,Without You,2017,246000,3,0.717,0.637,0,-3.401,0,0.0347,0.25,0.306,0.347,0.392,119.951,32
Crowd Control - Radio Edit,Dimitri Vegas & Like Mike,Crowd Control (Radio Edit),2017,159428,4,0.54,0.953,11,-2.237,0,0.0809,0.0622,0.658,0.132,0.124,139.902,47
Higher Place,Dimitri Vegas & Like Mike,Higher Place,2020,174010,4,0.709,0.616,7,-6.253,1,0.0734,0.243,0.0000422,0.151,0.552,124.934,51
Instagram,Dimitri Vegas & Like Mike,Instagram,2019,184558,4,0.752,0.906,8,-2.097,0,0.102,0.125,0,0.423,0.95,95.997,58
Mammoth,Dimitri Vegas & Like Mike,Mammoth,2013,332289,4,0.645,0.85,11,-5.952,0,0.256,0.00105,0.302,0.364,0.471,127.997,61
Repeat After Me (AIR242),Dimitri Vegas & Like Mike,Armada Invites Radio 242 (Incl. Armada Trice Take-Over),2014,186250,4,0.368,0.953,6,-4.318,0,0.0774,0.00229,0.695,0.315,0.248,131.886,0
Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),2018,140000,4,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,85
The House Of House,Dimitri Vegas & Like Mike,The House Of House,2013,267040,4,0.565,0.892,3,-5.221,0,0.0672,0.144,0.801,0.0385,0.0764,139.957,45
Tremor - Sensation 2014 Anthem,Dimitri Vegas & Like Mike,Gold Skies,2014,294466,4,0.631,0.939,6,-4.21,0,0.0363,0.000351,0.747,0.955,0.452,127.992,54
Waves (Tomorrowland 2014 Anthem),Dimitri Vegas & Like Mike,Waves (Tomorrowland 2014 Anthem),2014,206250,4,0.481,0.932,4,-4.456,0,0.205,0.00831,0.725,0.208,0.189,127.915,27
6th Gear (feat. Kstylis),Diplo,Random White Dude Be Everywhere,2015,211900,4,0.879,0.962,6,-2.634,1,0.193,0.00471,0.000902,0.0314,0.592,150.019,19
Be Right There,Diplo,Be Right There,2020,237051,4,0.695,0.797,7,-5.199,1,0.0548,0.00259,0.112,0.664,0.297,124.972,54
Express Yourself - Mochakk Remix,Diplo,Express Yourself (Mochakk Remix),2022,255000,4,0.902,0.541,1,-7.522,1,0.119,0.00233,0.945,0.0642,0.683,128.026,56
Get It Right,Diplo,Get It Right,2015,172500,4,0.464,0.833,0,-4.242,1,0.0981,0.108,0.0000171,0.0592,0.26,159.686,46
Revolution (feat. Faustix & Imanos and Kai),Diplo,Random White Dude Be Everywhere,2013,263716,4,0.634,0.724,5,-5.842,0,0.0546,0.00499,0.000193,0.0732,0.309,148.024,47
Set Me Free,Diplo,Set Me Free,2018,196009,4,0.61,0.956,5,-3.041,0,0.0752,0.0145,0.0000333,0.133,0.785,150,30
Help Me Lose My Mind,Disclosure,Settle - Deluxe,2013,244480,4,0.78,0.708,5,-5.692,0,0.0548,0.0395,0.0797,0.0516,0.347,109.021,60
Jaded,Disclosure,Caracal (Deluxe),2016,274749,4,0.801,0.857,6,-5.078,1,0.194,0.0111,0.00000375,0.0645,0.552,117.01,42
Latch,Disclosure,Settle - Deluxe,2012,255866,4,0.73,0.735,1,-5.451,1,0.0923,0.0176,0.000189,0.089,0.541,121.985,72
Magnets,Disclosure,Caracal (Deluxe),2015,199245,4,0.704,0.626,10,-7.883,0,0.164,0.0645,0.00000133,0.103,0.652,92.008,62
Omen,Disclosure,Caracal (Deluxe),2015,230250,4,0.723,0.678,8,-5.224,1,0.125,0.0614,0,0.372,0.633,106.011,58
When A Fire Starts To Burn,Disclosure,Settle - Deluxe,2013,284026,4,0.625,0.756,7,-6.955,1,0.231,0.00933,0.00131,0.324,0.673,123.948,47
White Noise,Disclosure,Settle - Deluxe,2012,277520,4,0.682,0.845,10,-6.17,0,0.0509,0.0102,0.000108,0.345,0.874,119.966,53
You & Me - Rivo Remix,Disclosure,You & Me (Rivo Remix),2015,208524,4,0.702,0.797,10,-6.635,0,0.0557,0.583,0.495,0.179,0.0356,122.011,84
Let Me Love You,DJ Snake,Encore,2016,205946,4,0.475,0.715,8,-5.371,1,0.058,0.0863,0.0000267,0.135,0.159,199.892,83
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,Carte Blanche,2019,185194,4,0.827,0.757,6,-2.985,0,0.0564,0.283,0.00000156,0.102,0.374,95.983,73
Magenta Riddim,DJ Snake,Carte Blanche,2018,194490,4,0.602,0.892,10,-3.66,0,0.0672,0.000393,0.816,0.304,0.57,102.047,60
Middle,DJ Snake,Encore,2016,220573,4,0.583,0.695,9,-5.336,1,0.0423,0.0138,0,0.0527,0.224,104.879,75
Paris (feat. GASHI),DJ Snake,Carte Blanche,2019,225000,4,0.621,0.623,10,-6.746,0,0.0373,0.228,0,0.11,0.226,128.04,38
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018,212500,4,0.842,0.801,8,-4.167,0,0.228,0.157,0.00000482,0.0642,0.617,95.881,72
Teka (with Peso Pluma),DJ Snake,Teka (with Peso Pluma),2024,163809,4,0.863,0.744,1,-3.32,0,0.0879,0.014,0.0102,0.117,0.601,126.105,79
Turn Down for What,DJ Snake,Turn Down for What,2013,213733,4,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,70
You Know You Like It,DJ Snake,You Know You Like It,2014,247266,4,0.407,0.725,5,-5.346,0,0.188,0.0141,0.00000246,0.306,0.247,196.093,70
Beyond the Fire,Don Diablo,Beyond the Fire,2019,228620,4,0.631,0.411,5,-11.26,0,0.0401,0.849,0.864,0.104,0.117,115.968,60
Children Of A Miracle - Don Diablo VIP Mix,Don Diablo,Children Of A Miracle (Don Diablo VIP Mix),2017,193487,4,0.467,0.932,3,-2.828,0,0.176,0.0995,0.000975,0.205,0.176,126.138,16
Cutting Shapes,Don Diablo,Past.Present.Future.,2015,179047,4,0.715,0.914,0,-3.87,1,0.214,0.0254,0,0.0961,0.565,125.826,50
Momentum,Don Diablo,Momentum,2018,169004,4,0.761,0.928,9,-2.895,0,0.0644,0.052,0.000387,0.0365,0.0398,126.071,38
On My Mind - Radio Edit,Don Diablo,Past.Present.Future.,2018,186885,4,0.578,0.941,3,-2.452,1,0.0901,0.00547,0.812,0.412,0.271,125.986,49
Save A Little Love,Don Diablo,FUTURE (Deluxe Edition),2018,202930,4,0.625,0.91,0,-2.583,0,0.109,0.0106,0,0.633,0.326,122.013,38
You Can't Change Me,Don Diablo,You Can't Change Me,2016,187185,4,0.548,0.929,3,-2.739,0,0.0545,0.29,0.319,0.0376,0.538,123.796,5
I Got U,Duke Dumont,EP1,2014,285596,4,0.636,0.761,9,-7.752,0,0.035,0.00377,0.00784,0.0851,0.463,120.837,60
Let Me Go,Duke Dumont,Duality,2015,366117,4,0.531,0.814,8,-5.8,1,0.0364,0.000245,0.335,0.121,0.0501,128.011,34
Melt,Duke Dumont,Blasé Boys Club (Pt. 1),2016,277093,4,0.711,0.513,0,-7.788,1,0.0395,0.0132,0.00223,0.0606,0.263,127.977,52
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,Need U (100%) (feat. A*M*E) [Remixes],2013,174121,4,0.67,0.848,0,-5.103,0,0.0538,0.00172,0.00168,0.385,0.457,124.031,56
Ocean Drive,Duke Dumont,Ocean Drive,2015,206320,4,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,68
"Red Light Green Light - For Club Play Only, Pt. 6",Duke Dumont,"Red Light Green Light (For Club Play Only, Pt. 6)",2014,211208,4,0.811,0.825,2,-5.48,1,0.0654,0.000646,0.517,0.0689,0.95,124.005,58
The Giver (Reprise),Duke Dumont,The Giver (Reprise),2014,195756,4,0.463,0.928,4,-4.559,0,0.183,0.00187,0.0000176,0.321,0.641,122.742,39
Therapy,Duke Dumont,Duality,2016,220476,4,0.521,0.888,4,-5.645,0,0.0443,0.00247,0.00108,0.115,0.115,125.986,45
Won't Look Back,Duke Dumont,Won’t Look Back,2014,270135,4,0.697,0.879,8,-6.014,0,0.0456,0.00502,0.626,0.171,0.591,124.007,56
Angel (feat. Dante Leon),DVBBS,Angel (feat. Dante Leon),2019,209651,4,0.512,0.85,7,-4.956,0,0.0329,0.0247,0,0.334,0.331,128.031,32
Deja Vu (feat. Delora) - Radio Edit,DVBBS,Deja Vu (feat. Delora),2015,226362,4,0.539,0.865,5,-3.939,0,0.0406,0.019,0.0212,0.412,0.167,127.99,25
Need U,DVBBS,Nothing To See Here,2016,219520,4,0.713,0.705,10,-6.478,1,0.0999,0.292,0.000359,0.126,0.47,114.994,35
Raveology,DVBBS,Raveology,2014,262514,4,0.634,0.99,9,-3.035,1,0.0714,0.0164,0.785,0.0837,0.573,127.98,29
This Is Dirty,DVBBS,This Is Dirty,2013,295781,4,0.456,0.906,7,-1.406,0,0.0737,0.000263,0.899,0.0955,0.084,128.073,39
Tsunami,DVBBS,Tsunami,2012,236706,4,0.699,0.839,4,-5.353,0,0.0481,0.0483,0.655,0.0897,0.264,128.026,66
White Clouds,DVBBS,White Clouds,2013,289208,4,0.567,0.853,10,-3.822,0,0.0657,0.00137,0.0000536,0.277,0.506,127.949,23
Call On Me - Radio Edit,Eric Prydz,Call On Me,2004,169426,4,0.606,0.847,10,-5.96,1,0.403,0.00553,0.00169,0.819,0.483,126.257,60
Every Day,Eric Prydz,Opus,2015,434666,4,0.477,0.728,7,-5.978,0,0.0378,0.00298,0.26,0.124,0.0341,125.988,51
Generate,Eric Prydz,Opus,2016,431106,4,0.64,0.873,11,-5.142,1,0.0267,0.00813,0.0595,0.483,0.201,127,46
Liberate,Eric Prydz,Liberate,2014,313388,4,0.509,0.88,5,-5.47,1,0.0355,0.0021,0.837,0.661,0.459,127.005,46
Niton (The Reason),Eric Prydz,Niton (The Reason),2009,485200,4,0.522,0.843,11,-5.736,0,0.0309,0.00046,0.256,0.28,0.231,127.981,24
Opus,Eric Prydz,Opus,2016,543453,4,0.275,0.721,6,-6.222,0,0.0359,0.000702,0.821,0.0792,0.184,125.156,60
Pjanoo - Radio Edit,Eric Prydz,Pjanoo,2008,157426,4,0.604,0.878,7,-4.956,0,0.0295,0.000555,0.827,0.107,0.838,125.986,47
Proper Education - Radio Edit,Eric Prydz,Proper Education - EP,2007,198567,4,0.537,0.937,0,-4.543,1,0.0523,0.00102,0.035,0.0917,0.324,124.938,53
"Build It Up, Tear It Down",Fatboy Slim,You've Come A Long Way Baby,2004,305440,4,0.616,0.859,3,-10.941,0,0.11,0.00857,0.162,0.255,0.524,144.616,21
Don't Let The Man Get You Down,Fatboy Slim,The Greatest Hits: Why Try Harder,2004,198106,4,0.587,0.747,9,-3.822,1,0.069,0.238,0,0.188,0.626,84.772,30
Gangster Trippin,Fatboy Slim,You've Come A Long Way Baby,1998,320053,4,0.716,0.861,1,-8.631,1,0.072,0.0379,0.00322,0.149,0.745,101.731,35
Going Out Of My Head,Fatboy Slim,The Greatest Hits: Why Try Harder,1998,222840,4,0.583,0.958,0,-6.089,1,0.0546,0.000108,0.28,0.138,0.551,132.621,22
Kalifornia,Fatboy Slim,You've Come A Long Way Baby,1999,353400,4,0.786,0.986,9,-6.369,1,0.0539,0.0544,0.00755,0.476,0.908,131.642,24
Praise You,Fatboy Slim,You've Come A Long Way Baby,1999,323240,4,0.602,0.893,1,-8.641,1,0.0483,0.0957,0.27,0.171,0.528,109.716,56
"Right Here, Right Now",Fatboy Slim,You've Come A Long Way Baby,1999,387706,4,0.572,0.862,7,-8.065,1,0.101,0.0127,0.388,0.674,0.111,124.708,49
The Rockafeller Skank,Fatboy Slim,You've Come A Long Way Baby,1998,413880,4,0.665,0.991,7,-6.725,1,0.256,0.0117,0.00392,0.339,0.0676,152.596,52
Weapon Of Choice,Fatboy Slim,The Greatest Hits: Why Try Harder,2004,219813,4,0.626,0.947,8,-4.608,0,0.057,0.136,0.78,0.209,0.959,195.972,50
